,rate,lower,upper,year,tax_type
0,2.0,0,2000,1916,Head
1,4.0,2000,5000,1916,Head
2,5.0,5000,7500,1916,Head
3,6.0,7500,10000,1916,Head
4,7.0,10000,12500,1916,Head
5,8.0,12500,15000,1916,Head
6,9.0,15000,20000,1916,Head
7,12.0,20000,40000,1916,Head
8,16.0,40000,60000,1916,Head
9,21.0,60000,80000,1916,Head
10,26.0,80000,100000,1916,Head
11,31.0,100000,150000,1916,Head
12,35.0,150000,200000,1916,Head
13,41.0,200000,250000,1916,Head
14,46.0,250000,300000,1916,Head
15,50.0,300000,500000,1916,Head
16,54.0,500000,750000,1916,Head
17,59.0,750000,1000000,1916,Head
18,65.0,1000000,1500000,1916,Head
19,66.0,1500000,2000000,1916,Head
20,67.0,2000000,10000000,1916,Head
21,2.0,0,2000,1916,Jointly
22,4.0,2000,5000,1916,Jointly
23,5.0,5000,7500,1916,Jointly
24,6.0,7500,10000,1916,Jointly
25,7.0,10000,12500,1916,Jointly
26,8.0,12500,15000,1916,Jointly
27,9.0,15000,20000,1916,Jointly
28,12.0,20000,40000,1916,Jointly
29,16.0,40000,60000,1916,Jointly
30,21.0,60000,80000,1916,Jointly
31,26.0,80000,100000,1916,Jointly
32,31.0,100000,150000,1916,Jointly
33,35.0,150000,200000,1916,Jointly
34,41.0,200000,250000,1916,Jointly
35,46.0,250000,300000,1916,Jointly
36,50.0,300000,500000,1916,Jointly
37,54.0,500000,750000,1916,Jointly
38,59.0,750000,1000000,1916,Jointly
39,65.0,1000000,1500000,1916,Jointly
40,66.0,1500000,2000000,1916,Jointly
41,67.0,2000000,10000000,1916,Jointly
42,2.0,0,2000,1916,Separately
43,4.0,2000,5000,1916,Separately
44,5.0,5000,7500,1916,Separately
45,6.0,7500,10000,1916,Separately
46,7.0,10000,12500,1916,Separately
47,8.0,12500,15000,1916,Separately
48,9.0,15000,20000,1916,Separately
49,12.0,20000,40000,1916,Separately
50,16.0,40000,60000,1916,Separately
51,21.0,60000,80000,1916,Separately
52,26.0,80000,100000,1916,Separately
53,31.0,100000,150000,1916,Separately
54,35.0,150000,200000,1916,Separately
55,41.0,200000,250000,1916,Separately
56,46.0,250000,300000,1916,Separately
57,50.0,300000,500000,1916,Separately
58,54.0,500000,750000,1916,Separately
59,59.0,750000,1000000,1916,Separately
60,65.0,1000000,1500000,1916,Separately
61,66.0,1500000,2000000,1916,Separately
62,67.0,2000000,10000000,1916,Separately
63,2.0,0,2000,1916,Single
64,4.0,2000,5000,1916,Single
65,5.0,5000,7500,1916,Single
66,6.0,7500,10000,1916,Single
67,7.0,10000,12500,1916,Single
68,8.0,12500,15000,1916,Single
69,9.0,15000,20000,1916,Single
70,12.0,20000,40000,1916,Single
71,16.0,40000,60000,1916,Single
72,21.0,60000,80000,1916,Single
73,26.0,80000,100000,1916,Single
74,31.0,100000,150000,1916,Single
75,35.0,150000,200000,1916,Single
76,41.0,200000,250000,1916,Single
77,46.0,250000,300000,1916,Single
78,50.0,300000,500000,1916,Single
79,54.0,500000,750000,1916,Single
80,59.0,750000,1000000,1916,Single
81,65.0,1000000,1500000,1916,Single
82,66.0,1500000,2000000,1916,Single
83,67.0,2000000,10000000,1916,Single
84,2.0,0,20000,1917,Head
85,3.0,20000,40000,1917,Head
86,4.0,40000,60000,1917,Head
87,5.0,60000,80000,1917,Head
88,6.0,80000,100000,1917,Head
89,7.0,100000,150000,1917,Head
90,8.0,150000,200000,1917,Head
91,9.0,200000,250000,1917,Head
92,10.0,250000,300000,1917,Head
93,11.0,300000,500000,1917,Head
94,12.0,500000,1000000,1917,Head
95,13.0,1000000,1500000,1917,Head
96,14.0,1500000,2000000,1917,Head
97,15.0,2000000,10000000,1917,Head
98,2.0,0,20000,1917,Jointly
99,3.0,20000,40000,1917,Jointly
100,4.0,40000,60000,1917,Jointly
101,5.0,60000,80000,1917,Jointly
102,6.0,80000,100000,1917,Jointly
103,7.0,100000,150000,1917,Jointly
104,8.0,150000,200000,1917,Jointly
105,9.0,200000,250000,1917,Jointly
106,10.0,250000,300000,1917,Jointly
107,11.0,300000,500000,1917,Jointly
108,12.0,500000,1000000,1917,Jointly
109,13.0,1000000,1500000,1917,Jointly
110,14.0,1500000,2000000,1917,Jointly
111,15.0,2000000,10000000,1917,Jointly
112,2.0,0,20000,1917,Separately
113,3.0,20000,40000,1917,Separately
114,4.0,40000,60000,1917,Separately
115,5.0,60000,80000,1917,Separately
116,6.0,80000,100000,1917,Separately
117,7.0,100000,150000,1917,Separately
118,8.0,150000,200000,1917,Separately
119,9.0,200000,250000,1917,Separately
120,10.0,250000,300000,1917,Separately
121,11.0,300000,500000,1917,Separately
122,12.0,500000,1000000,1917,Separately
123,13.0,1000000,1500000,1917,Separately
124,14.0,1500000,2000000,1917,Separately
125,15.0,2000000,10000000,1917,Separately
126,2.0,0,20000,1917,Single
127,3.0,20000,40000,1917,Single
128,4.0,40000,60000,1917,Single
129,5.0,60000,80000,1917,Single
130,6.0,80000,100000,1917,Single
131,7.0,100000,150000,1917,Single
132,8.0,150000,200000,1917,Single
133,9.0,200000,250000,1917,Single
134,10.0,250000,300000,1917,Single
135,11.0,300000,500000,1917,Single
136,12.0,500000,1000000,1917,Single
137,13.0,1000000,1500000,1917,Single
138,14.0,1500000,2000000,1917,Single
139,15.0,2000000,10000000,1917,Single
140,6.0,0,4000,1918,Head
141,12.0,4000,5000,1918,Head
142,13.0,5000,6000,1918,Head
143,14.0,6000,8000,1918,Head
144,15.0,8000,10000,1918,Head
145,16.0,10000,12000,1918,Head
146,17.0,12000,14000,1918,Head
147,18.0,14000,16000,1918,Head
148,19.0,16000,18000,1918,Head
149,20.0,18000,20000,1918,Head
150,21.0,20000,22000,1918,Head
151,22.0,22000,24000,1918,Head
152,23.0,24000,26000,1918,Head
153,24.0,26000,28000,1918,Head
154,25.0,28000,30000,1918,Head
155,26.0,30000,32000,1918,Head
156,27.0,32000,34000,1918,Head
157,28.0,34000,36000,1918,Head
158,29.0,36000,38000,1918,Head
159,30.0,38000,40000,1918,Head
160,31.0,40000,42000,1918,Head
161,32.0,42000,44000,1918,Head
162,33.0,44000,46000,1918,Head
163,34.0,46000,48000,1918,Head
164,35.0,48000,50000,1918,Head
165,36.0,50000,52000,1918,Head
166,37.0,52000,54000,1918,Head
167,38.0,54000,56000,1918,Head
168,39.0,56000,58000,1918,Head
169,40.0,58000,60000,1918,Head
170,41.0,60000,62000,1918,Head
171,42.0,62000,64000,1918,Head
172,43.0,64000,66000,1918,Head
173,44.0,66000,68000,1918,Head
174,45.0,68000,70000,1918,Head
175,46.0,70000,72000,1918,Head
176,47.0,72000,74000,1918,Head
177,48.0,74000,76000,1918,Head
178,49.0,76000,78000,1918,Head
179,50.0,78000,80000,1918,Head
180,51.0,80000,82000,1918,Head
181,52.0,82000,84000,1918,Head
182,53.0,84000,86000,1918,Head
183,54.0,86000,88000,1918,Head
184,55.0,88000,90000,1918,Head
185,56.0,90000,92000,1918,Head
186,57.0,92000,94000,1918,Head
187,58.0,94000,96000,1918,Head
188,59.0,96000,98000,1918,Head
189,60.0,98000,100000,1918,Head
190,64.0,100000,150000,1918,Head
191,68.0,150000,200000,1918,Head
192,72.0,200000,300000,1918,Head
193,75.0,300000,500000,1918,Head
194,76.0,500000,1000000,1918,Head
